"","season","HomeTeam","AwayTeam","HGGS","HGGC","AGGS","AGGC","HGH2H","AGH2H","HGS","HGAS","HGST","HGAST","AGS","AGAS","AGST","AGAST","FTHG","FTAG"
"8","2000-01","Arsenal","Aston Villa",2,0.579,1.079,1.079,1,0.25,10,5,4,2,5,10,2,4,1,0
"9","2001-02","Arsenal","Aston Villa",2.2894,0.7894,1.1052,1.2106,1,0.25,10,5,4,2,5,10,2,4,3,2
"10","2002-03","Arsenal","Aston Villa",2.2894,1,1.1316,1.3948,1,0.5,16.8422,6.3422,9.0264,3,12.0526,9.5264,5.7106,4.6052,3,1
"11","2003-04","Arsenal","Aston Villa",2.3422,1.1842,1.079,1.6578,1.5,0.75,16.2106,6.3158,8.6842,3.079,12.921,10.921,6.4736,5.2894,2,0
"12","2004-05","Arsenal","Aston Villa",2.2894,0.8948,1.079,1.5264,1.25,0.25,14.7106,6.8948,8.6052,3.421,13.1842,11.1578,6.9736,5.3422,3,1
"13","2005-06","Arsenal","Aston Villa",2.4736,0.8684,1.1316,1.579,1.25,0.25,13.579,6.5264,8.2632,3.1842,13.6316,10.2894,7.2632,5.1316,5,0
"14","2006-07","Arsenal","Aston Villa",2.6842,0.8422,1.079,1.8422,2,0.25,13.3948,6.3684,8.6842,3.2106,13.7894,9.2632,7.4736,4.8422,1,1
"15","2007-08","Arsenal","Aston Villa",2.3948,0.7632,1.1842,1.6316,1.5,0.25,14.5264,6.7106,8.8948,3.5,13.7106,9.1578,7.1578,5.0264,1,1
"16","2008-09","Arsenal","Aston Villa",2.1052,0.7106,1.579,1.4736,0.5,0.5,15.1578,7.2368,8.4474,3.8422,13.2368,10.0264,6.8948,5.8422,0,2
"17","2009-10","Arsenal","Aston Villa",1.7894,0.7106,1.6842,1.4736,0.25,0.75,15.2894,7.6578,8.579,4.1316,13.0264,9.5526,7.2632,5.6052,3,0
"18","2010-11","Arsenal","Aston Villa",2.079,0.8158,1.3158,1.3158,0.75,0.5,16.0526,7.079,9.5526,4.0526,14.1316,9.6578,8.079,5.5526,1,2
"19","2011-12","Arsenal","Aston Villa",2.1316,0.7894,1.1842,1.6578,1,0.5,16.421,6.7632,9.8158,3.8422,14.9736,10.7368,8.6052,6.1578,3,0
"20","2012-13","Arsenal","Aston Villa",1.8948,0.8422,1.0264,1.7894,1,0.5,16.7894,7.3158,9.7632,3.8948,15.4736,10.1052,8.5264,5.5526,2,1
"21","2013-14","Arsenal","Aston Villa",2.2632,1.0526,1.079,1.8158,1.25,0.25,16.4474,7.9474,9.6052,4.421,16.1578,9.3422,8.3684,5.1578,1,3
"22","2014-15","Arsenal","Aston Villa",2.1842,0.8948,1.079,1.921,0.75,1,15.5264,9.0526,7.7368,3.8684,15.5526,9.8158,6.579,4.2106,5,0
"23","2015-16","Arsenal","Aston Villa",2.0264,0.6578,0.7894,1.6842,1.5,0.75,16.9474,9.5,6.7106,3,14.1842,10.2368,4.7632,3.1842,4,0
"24","2019-20","Arsenal","Aston Villa",2.5264,0.9474,2,2,2.25,0,15.7632,10.579,6.3948,3.8158,2,2,2,2,3,2
"26","2002-03","Arsenal","Birmingham",2.2894,1,2,2,0.25,0.25,16.8422,6.3422,9.0264,3,2,2,2,2,2,0
"27","2003-04","Arsenal","Birmingham",2.3422,1.1842,0.8422,1.3684,1,1,16.2106,6.3158,8.6842,3.079,12.9474,8.1052,6.6842,3.579,0,0
"28","2004-05","Arsenal","Birmingham",2.2894,0.8948,0.8684,1.3158,0.5,0,14.7106,6.8948,8.6052,3.421,12.6578,7.8158,6.6842,3.6316,3,0
"29","2005-06","Arsenal","Birmingham",2.4736,0.8684,0.8684,1.4474,0.75,0,13.579,6.5264,8.2632,3.1842,11.8422,7.8948,6.4474,3.7368,1,0
"30","2007-08","Arsenal","Birmingham",2.3948,0.7632,0.4736,1.579,1,0,14.5264,6.7106,8.8948,3.5,12.9474,8.0526,6.9474,4.0526,1,1
"31","2009-10","Arsenal","Birmingham",1.7894,0.7106,0.8422,2.0526,0.5,0.25,15.2894,7.6578,8.579,4.1316,14.8422,7.1578,7.8948,3.8422,3,1
"32","2010-11","Arsenal","Birmingham",2.079,0.8158,1,1.7894,1,0.5,16.0526,7.079,9.5526,4.0526,15.8948,9.2632,9.579,5.8422,2,1
"39","2001-02","Arsenal","Blackburn",2.2894,0.7894,2,2,0.5,0.75,10,5,4,2,5,10,2,4,3,3
"40","2002-03","Arsenal","Blackburn",2.2894,1,1.1578,1.6316,1,0.75,16.8422,6.3422,9.0264,3,12.6842,9.579,5.8422,4.579,1,2
"41","2003-04","Arsenal","Blackburn",2.3422,1.1842,1.3158,1.5526,1,1.25,16.2106,6.3158,8.6842,3.079,13.1316,9.7106,6.7894,4.8948,1,0
"42","2004-05","Arsenal","Blackburn",2.2894,0.8948,1.421,1.4736,0.5,0.5,14.7106,6.8948,8.6052,3.421,13.2632,10.2106,7.6842,5.1578,3,0
"43","2005-06","Arsenal","Blackburn",2.4736,0.8684,0.9736,1.2894,1,0,13.579,6.5264,8.2632,3.1842,12.2106,10.2368,6.5,4.7894,3,0
"44","2006-07","Arsenal","Blackburn",2.6842,0.8422,0.8158,1.2106,1.5,0,13.3948,6.3684,8.6842,3.2106,11.9736,9.421,5.5,4.4736,6,2
"45","2007-08","Arsenal","Blackburn",2.3948,0.7632,1.079,1.421,2.25,0.5,14.5264,6.7106,8.8948,3.5,13.6842,9.3158,7.2368,4.6052,2,0
"46","2008-09","Arsenal","Blackburn",2.1052,0.7106,1.1842,1.5264,2,0.5,15.1578,7.2368,8.4474,3.8422,13.3948,10.079,7.8684,5.5,4,0
"47","2009-10","Arsenal","Blackburn",1.7894,0.7106,1.1052,1.7368,1.5,0,15.2894,7.6578,8.579,4.1316,11.8158,10.3158,6.7106,5.9474,6,2
"48","2010-11","Arsenal","Blackburn",2.079,0.8158,0.8158,1.9474,2.5,0.5,16.0526,7.079,9.5526,4.0526,12.6578,10,7.2632,5.3948,0,0
"49","2011-12","Arsenal","Blackburn",2.1316,0.7894,0.9736,2.1052,1.5,0.5,16.421,6.7632,9.8158,3.8422,14.8948,8.8948,8.6842,4.8684,7,1
"50","2010-11","Arsenal","Blackpool",2.079,0.8158,2,2,0.25,0.25,16.0526,7.079,9.5526,4.0526,2,2,2,2,6,0
"53","2001-02","Arsenal","Bolton",2.2894,0.7894,2,2,1.5,0.5,10,5,4,2,5,10,2,4,1,1
"54","2002-03","Arsenal","Bolton",2.2894,1,1.2632,1.6316,1.25,0.5,16.8422,6.3422,9.0264,3,12.4736,8.7894,5.6316,4.2632,2,1
"55","2003-04","Arsenal","Bolton",2.3422,1.1842,1,1.5264,0.75,0.5,16.2106,6.3158,8.6842,3.079,12.5526,8.5526,6.0264,4.0526,2,1
"56","2004-05","Arsenal","Bolton",2.2894,0.8948,1,1.6316,1,0.5,14.7106,6.8948,8.6052,3.421,12.2632,10.0264,6.7368,4.8948,2,2
"57","2005-06","Arsenal","Bolton",2.4736,0.8684,1.2632,1.6052,1,0.75,13.579,6.5264,8.2632,3.1842,12.3422,10.5264,6.8948,5.1842,1,1
"58","2006-07","Arsenal","Bolton",2.6842,0.8422,1.1578,1.421,0.75,0.75,13.3948,6.3684,8.6842,3.2106,12.6578,8.7368,6.4474,3.9474,2,1
"59","2007-08","Arsenal","Bolton",2.3948,0.7632,1.079,1.579,0.75,0.5,14.5264,6.7106,8.8948,3.5,12.4474,7.8422,5.9736,3.5526,2,0
"60","2008-09","Arsenal","Bolton",2.1052,0.7106,0.8948,1.7894,1,0.25,15.1578,7.2368,8.4474,3.8422,13.1052,8.2368,7,4.3684,1,0
"61","2009-10","Arsenal","Bolton",1.7894,0.7106,0.8684,1.7894,0.75,0,15.2894,7.6578,8.579,4.1316,15.3948,9.079,8.8158,5,4,2
"62","2010-11","Arsenal","Bolton",2.079,0.8158,0.9474,1.7894,1.25,0.5,16.0526,7.079,9.5526,4.0526,15.8684,9.9474,8.6578,5.079,4,1
"63","2011-12","Arsenal","Bolton",2.1316,0.7894,0.8948,1.7894,2,0.75,16.421,6.7632,9.8158,3.8422,14.921,11.1052,7.8948,5.5526,3,0
"64","2015-16","Arsenal","Bournemouth",2.0264,0.6578,2,2,0.25,0.25,16.9474,9.5,6.7106,3,2,2,2,2,2,0
"65","2016-17","Arsenal","Bournemouth",1.8948,0.6578,1.1578,1.7368,1,1,17.9474,9.8158,6.7368,3.3948,12.5264,11.579,4.1578,3.2106,3,1
"66","2017-18","Arsenal","Bournemouth",1.8422,0.7106,1.1052,1.8684,1.25,0.25,17.1578,10.579,6.0264,4.0264,14.6316,10.8684,5.079,3.421,3,0
"67","2018-19","Arsenal","Bournemouth",2.4474,0.9474,1.0264,1.8158,1.5,0.25,17.6842,10.1052,6.8684,3.9474,16.1052,10.3422,5.421,3.8158,5,1
"68","2019-20","Arsenal","Bournemouth",2.5264,0.9474,1.1842,2,2,0.25,15.7632,10.579,6.3948,3.8158,14.8948,11,4.8684,4.1316,1,0
"70","2000-01","Arsenal","Bradford",2,0.579,0.6316,2.0526,1,1,10,5,4,2,5,10,2,4,2,0
"71","2017-18","Arsenal","Brighton",1.8422,0.7106,2,2,0.25,0.25,17.1578,10.579,6.0264,4.0264,2,2,2,2,2,0
"72","2018-19","Arsenal","Brighton",2.4474,0.9474,0.5264,1.5264,1,1,17.6842,10.1052,6.8684,3.9474,16.421,8.7368,4.9474,2.4736,1,1
"73","2019-20","Arsenal","Brighton",2.5264,0.9474,0.6842,1.6052,0.75,0.25,15.7632,10.579,6.3948,3.8158,17.6316,8.7106,5,2.6842,1,2
"74","2009-10","Arsenal","Burnley",1.7894,0.7106,2,2,0.25,0.25,15.2894,7.6578,8.579,4.1316,2,2,2,2,3,1
"75","2014-15","Arsenal","Burnley",2.1842,0.8948,2,2,1,1,15.5264,9.0526,7.7368,3.8684,2,2,2,2,3,0
"76","2016-17","Arsenal","Burnley",1.8948,0.6578,0.7368,1.6842,1.5,0.25,17.9474,9.8158,6.7368,3.3948,17.7368,10.3684,5.6842,2.8948,2,1
"77","2017-18","Arsenal","Burnley",1.8422,0.7106,0.6842,1.8422,1.25,0.25,17.1578,10.579,6.0264,4.0264,19.6316,9.4736,6.6842,2.9474,5,0
"78","2018-19","Arsenal","Burnley",2.4474,0.9474,0.8684,1.5,1.75,0.25,17.6842,10.1052,6.8684,3.9474,17.6842,9.2632,5.5526,3.079,3,1
"79","2019-20","Arsenal","Burnley",2.5264,0.9474,1.079,1.5264,2,0.25,15.7632,10.579,6.3948,3.8158,17.421,8.4474,5.2632,2.8948,2,1
"80","2013-14","Arsenal","Cardiff",2.2632,1.0526,2,2,0.25,0.25,16.4474,7.9474,9.6052,4.421,2,2,2,2,2,0
"81","2018-19","Arsenal","Cardiff",2.4474,0.9474,2,2,1,1,17.6842,10.1052,6.8684,3.9474,2,2,2,2,2,1
"83","2000-01","Arsenal","Charlton",2,0.579,1.1052,1.8948,1,1,10,5,4,2,5,10,2,4,5,3
"84","2001-02","Arsenal","Charlton",2.2894,0.7894,1,2,1.25,0.75,10,5,4,2,5,10,2,4,2,4
"85","2002-03","Arsenal","Charlton",2.2894,1,0.8948,1.5,1.75,1.75,16.8422,6.3422,9.0264,3,14.1578,9.0264,6.5264,4.6316,2,0
"86","2003-04","Arsenal","Charlton",2.3422,1.1842,0.8948,1.1842,1,1,16.2106,6.3158,8.6842,3.079,14.2894,8.5264,6.8158,4.2632,2,1
"87","2004-05","Arsenal","Charlton",2.2894,0.8948,1.079,1.2632,1,0.25,14.7106,6.8948,8.6052,3.421,14.7894,8.3158,7.7632,4.421,4,0
"88","2005-06","Arsenal","Charlton",2.4736,0.8684,0.921,1.3422,1.5,0.25,13.579,6.5264,8.2632,3.1842,14.7368,8.0526,8.2368,3.8948,3,0
"89","2006-07","Arsenal","Charlton",2.6842,0.8422,0.8422,1.6578,1.75,0,13.3948,6.3684,8.6842,3.2106,14.4474,7.7106,8.0264,3.8684,4,0
"97","2000-01","Arsenal","Chelsea",2,0.579,1.2106,1.0264,0.75,0.25,10,5,4,2,5,10,2,4,1,1
"98","2001-02","Arsenal","Chelsea",2.2894,0.7894,1.1052,1.2368,0.75,0.5,10,5,4,2,5,10,2,4,2,1
"99","2002-03","Arsenal","Chelsea",2.2894,1,1.2368,1.1052,0.75,0.5,16.8422,6.3422,9.0264,3,10.921,11.1316,5.5526,4.8684,3,2
"100","2003-04","Arsenal","Chelsea",2.3422,1.1842,1.3158,1.0526,1.25,0.75,16.2106,6.3158,8.6842,3.079,10.421,11.1316,5.5526,5.421,2,1
"101","2004-05","Arsenal","Chelsea",2.2894,0.8948,1.579,1.0526,1.25,0.75,14.7106,6.8948,8.6052,3.421,10.7106,11.8684,5.6316,6.5,2,2
"102","2005-06","Arsenal","Chelsea",2.4736,0.8684,1.8422,0.6842,1,0.75,13.579,6.5264,8.2632,3.1842,10.1578,12.6316,4.8684,7.1316,0,2
"103","2006-07","Arsenal","Chelsea",2.6842,0.8422,1.6316,0.579,0.5,1,13.3948,6.3684,8.6842,3.2106,8.4736,13.3158,4.1316,7.4474,1,1
"104","2007-08","Arsenal","Chelsea",2.3948,0.7632,1.3684,0.6842,0.25,0.75,14.5264,6.7106,8.8948,3.5,8.4736,12.8948,3.9474,6.7894,1,0
"105","2008-09","Arsenal","Chelsea",2.1052,0.7106,1.4736,0.6842,0.5,0.25,15.1578,7.2368,8.4474,3.8422,10.5,12.0526,4.9736,6.4474,1,4
"106","2009-10","Arsenal","Chelsea",1.7894,0.7106,1.6842,0.6578,0.5,1,15.2894,7.6578,8.579,4.1316,11.4736,13.421,6.1578,7.5,0,3
"107","2010-11","Arsenal","Chelsea",2.079,0.8158,1.8422,0.7894,0.25,1.75,16.0526,7.079,9.5526,4.0526,9.8684,15.579,5.4736,8.4736,3,1
"108","2011-12","Arsenal","Chelsea",2.1316,0.7894,1.7106,1,0.75,1,16.421,6.7632,9.8158,3.8422,9.421,16.2894,5.1578,8.6316,0,0
"109","2012-13","Arsenal","Chelsea",1.8948,0.8422,1.421,1.1052,0.75,0.25,16.7894,7.3158,9.7632,3.8948,11.3158,15.7106,6.5,8.6052,1,2
"110","2013-14","Arsenal","Chelsea",2.2632,1.0526,1.5264,1.1842,0.25,0.5,16.4474,7.9474,9.6052,4.421,12.7632,13.3684,7.5264,7.6316,0,0
"111","2014-15","Arsenal","Chelsea",2.1842,0.8948,1.6316,1.0264,0.25,0.5,15.5264,9.0526,7.7368,3.8684,12.6842,14.3684,5.6052,5.9474,0,0
"112","2015-16","Arsenal","Chelsea",2.0264,0.6578,1.7106,1.0264,0,0,16.9474,9.5,6.7106,3,12.3948,14.9736,3.6316,4.7632,0,1
"113","2016-17","Arsenal","Chelsea",1.8948,0.6578,1.6842,1.2106,0,0.25,17.9474,9.8158,6.7368,3.3948,12.4736,12.4736,4.1052,4.421,3,0
"114","2017-18","Arsenal","Chelsea",1.8422,0.7106,1.5,1.0264,0.75,0.25,17.1578,10.579,6.0264,4.0264,10.7368,12.8422,3.5,4.2894,2,2
"115","2018-19","Arsenal","Chelsea",2.4474,0.9474,1.6316,1,1.25,0.5,17.6842,10.1052,6.8684,3.9474,9.921,13.5264,3.079,4.5,2,0
"116","2019-20","Arsenal","Chelsea",2.5264,0.9474,1.4736,1.2894,1,0.5,15.7632,10.579,6.3948,3.8158,10.5,13.9736,3.8684,4.421,1,2
"124","2000-01","Arsenal","Coventry",2,0.579,0.579,1.6316,1.25,0,10,5,4,2,5,10,2,4,2,1
"127","2004-05","Arsenal","Crystal Palace",2.2894,0.8948,2,2,0.5,0.5,14.7106,6.8948,8.6052,3.421,2,2,2,2,5,1
"128","2013-14","Arsenal","Crystal Palace",2.2632,1.0526,2,2,1.5,0.25,16.4474,7.9474,9.6052,4.421,2,2,2,2,2,0
"129","2014-15","Arsenal","Crystal Palace",2.1842,0.8948,0.7894,1.3158,1.75,0.25,15.5264,9.0526,7.7368,3.8684,14.0526,10.4736,4.6842,3.5264,2,1
"130","2015-16","Arsenal","Crystal Palace",2.0264,0.6578,1.079,1.2894,1,0.25,16.9474,9.5,6.7106,3,15.2106,10.3684,4.3684,3.421,1,1
"131","2016-17","Arsenal","Crystal Palace",1.8948,0.6578,1.2106,1.3684,0.75,0.5,17.9474,9.8158,6.7368,3.3948,16.8422,10.6842,4.5264,3.3158,2,0
"132","2017-18","Arsenal","Crystal Palace",1.8422,0.7106,1.2106,1.7368,0.75,0.25,17.1578,10.579,6.0264,4.0264,16.3158,11.1842,5.0526,3.3422,4,1
"133","2018-19","Arsenal","Crystal Palace",2.4474,0.9474,1.1052,1.7368,1.5,0.25,17.6842,10.1052,6.8684,3.9474,14.3948,11.1052,5.0526,3.2632,2,3
"134","2019-20","Arsenal","Crystal Palace",2.5264,0.9474,1.2632,1.5264,1.5,1,15.7632,10.579,6.3948,3.8158,14.6842,10.6578,5.079,3.421,2,2
"139","2000-01","Arsenal","Derby",2,0.579,1.0526,1.5264,0.75,0.25,10,5,4,2,5,10,2,4,0,0
"140","2001-02","Arsenal","Derby",2.2894,0.7894,0.9474,1.7632,0.5,0.25,10,5,4,2,5,10,2,4,1,0
"141","2007-08","Arsenal","Derby",2.3948,0.7632,2,2,0.25,0,14.5264,6.7106,8.8948,3.5,2,2,2,2,5,0
"149","2000-01","Arsenal","Everton",2,0.579,1.1316,1.6578,1.25,0.25,10,5,4,2,5,10,2,4,4,1
"150","2001-02","Arsenal","Everton",2.2894,0.7894,1.0264,1.579,2,0.5,10,5,4,2,5,10,2,4,4,3
"151","2002-03","Arsenal","Everton",2.2894,1,0.921,1.7368,2,1,16.8422,6.3422,9.0264,3,12.2632,8.579,5.6578,4.1842,2,1
"152","2003-04","Arsenal","Everton",2.3422,1.1842,1.0264,1.6842,1.5,1,16.2106,6.3158,8.6842,3.079,13.0264,9.3158,6.421,4.8684,2,1
"153","2004-05","Arsenal","Everton",2.2894,0.8948,1,1.7632,1,0.5,14.7106,6.8948,8.6052,3.421,13.7106,9.5,7.6052,4.7894,7,0
"154","2005-06","Arsenal","Everton",2.4736,0.8684,1.0264,1.7894,2.25,0.25,13.579,6.5264,8.2632,3.1842,14.2632,8.6316,7.7106,4.1316,2,0
"155","2006-07","Arsenal","Everton",2.6842,0.8422,0.8684,1.5264,2.25,0,13.3948,6.3684,8.6842,3.2106,13.921,8.1842,7.1052,4.1578,1,1
"156","2007-08","Arsenal","Everton",2.3948,0.7632,0.8158,1.2106,0.75,0.25,14.5264,6.7106,8.8948,3.5,13.6052,8.6842,6.8684,4.421,1,0
"157","2008-09","Arsenal","Everton",2.1052,0.7106,1.0526,0.921,0.5,0.25,15.1578,7.2368,8.4474,3.8422,13.3422,9.2632,6.579,4.921,3,1
"158","2009-10","Arsenal","Everton",1.7894,0.7106,1.1842,0.8684,1,0.25,15.2894,7.6578,8.579,4.1316,12.5526,9.579,6.2894,5.3684,2,2
"159","2010-11","Arsenal","Everton",2.079,0.8158,1.2894,1.1842,1.25,0.75,16.0526,7.079,9.5526,4.0526,12.2368,10.7632,6.7894,6.5,2,1
"160","2011-12","Arsenal","Everton",2.1316,0.7894,1.1842,1.3158,1,0.75,16.421,6.7632,9.8158,3.8422,12.5526,11.5,7.0526,7.0526,1,0
"161","2012-13","Arsenal","Everton",1.8948,0.8422,1.1052,1.2368,0.75,0.25,16.7894,7.3158,9.7632,3.8948,12.7368,11.1578,6.921,6.1842,0,0
"162","2013-14","Arsenal","Everton",2.2632,1.0526,1.1578,1.2632,0.25,0,16.4474,7.9474,9.6052,4.421,12.3684,12.1578,6.9474,6.7368,1,1
"163","2014-15","Arsenal","Everton",2.1842,0.8948,1.1842,1.1316,0.25,0.25,15.5264,9.0526,7.7368,3.8684,13.079,13.2632,5.7632,5.8948,2,0
"164","2015-16","Arsenal","Everton",2.0264,0.6578,1.1578,1.2894,0.75,0.25,16.9474,9.5,6.7106,3,13.9474,12.1578,4.079,4.1316,2,1
"165","2016-17","Arsenal","Everton",1.8948,0.6578,1.1842,1.421,1,0.25,17.9474,9.8158,6.7368,3.3948,15.3422,11.2632,4.6052,4.2632,3,1
"166","2017-18","Arsenal","Everton",1.8422,0.7106,1.1578,1.3948,1.25,0.5,17.1578,10.579,6.0264,4.0264,14.9474,11.421,5.0526,4.2368,5,1
"167","2018-19","Arsenal","Everton",2.4474,0.9474,0.9474,1.6842,2,0.5,17.6842,10.1052,6.8684,3.9474,14.5264,10.3158,5.0526,3.7368,2,0
"168","2019-20","Arsenal","Everton",2.5264,0.9474,1.0526,1.6052,1.75,0.25,15.7632,10.579,6.3948,3.8158,13.5,10.1842,4.5,3.8422,3,2
"169","2001-02","Arsenal","Fulham",2.2894,0.7894,2,2,0.25,0.25,10,5,4,2,5,10,2,4,4,1
"170","2002-03","Arsenal","Fulham",2.2894,1,0.7894,1.4736,1,1,16.8422,6.3422,9.0264,3,11.4736,8.9474,5.7894,3.579,2,1
"171","2003-04","Arsenal","Fulham",2.3422,1.1842,0.7894,1.579,1.5,0.5,16.2106,6.3158,8.6842,3.079,11.9736,8.6578,6.2894,3.921,0,0
"172","2004-05","Arsenal","Fulham",2.2894,0.8948,1,1.5,0.5,0.25,14.7106,6.8948,8.6052,3.421,12.8948,9.1578,7.2632,4.8422,2,0
"173","2005-06","Arsenal","Fulham",2.4736,0.8684,1.2106,1.5526,0.5,0,13.579,6.5264,8.2632,3.1842,13.2632,9.1842,7.7106,4.9474,4,1
"174","2006-07","Arsenal","Fulham",2.6842,0.8422,1.0526,1.8684,1.5,0.25,13.3948,6.3684,8.6842,3.2106,13.5264,8.8948,7.6842,4.2894,3,1
"175","2007-08","Arsenal","Fulham",2.3948,0.7632,0.9736,2.079,1.75,0.5,14.5264,6.7106,8.8948,3.5,13.8422,8.8948,7.3948,4.1052,2,1
"176","2008-09","Arsenal","Fulham",2.1052,0.7106,0.9474,1.8684,1.25,0.5,15.1578,7.2368,8.4474,3.8422,14.0264,9.0264,7.2106,4.5,0,0
"177","2009-10","Arsenal","Fulham",1.7894,0.7106,0.7106,1.2368,0.5,0.25,15.2894,7.6578,8.579,4.1316,13.8158,10.079,7.1052,5.0264,4,0
"178","2010-11","Arsenal","Fulham",2.079,0.8158,0.6052,1.2894,1,0,16.0526,7.079,9.5526,4.0526,14.0526,9.3422,7.4736,4.8422,2,1
"179","2011-12","Arsenal","Fulham",2.1316,0.7894,0.8158,1.3422,1.5,0.25,16.421,6.7632,9.8158,3.8422,13.6842,9.7894,7.4736,5.1316,1,1
"180","2012-13","Arsenal","Fulham",1.8948,0.8422,0.8158,1.1842,0.75,0.5,16.7894,7.3158,9.7632,3.8948,14.3422,10.6316,7.8948,5.7368,3,3
"181","2013-14","Arsenal","Fulham",2.2632,1.0526,0.8948,1.4474,1,1,16.4474,7.9474,9.6052,4.421,16.2894,9.3422,8.9736,5.5526,2,0
"182","2018-19","Arsenal","Fulham",2.4474,0.9474,2,2,1.25,0.75,17.6842,10.1052,6.8684,3.9474,2,2,2,2,4,1
"183","2017-18","Arsenal","Huddersfield",1.8422,0.7106,2,2,0.25,0.25,17.1578,10.579,6.0264,4.0264,2,2,2,2,5,0
"184","2018-19","Arsenal","Huddersfield",2.4474,0.9474,0.6316,1.7368,1,1,17.6842,10.1052,6.8684,3.9474,13.421,8.0526,4.6316,2.9474,1,0
"185","2008-09","Arsenal","Hull",2.1052,0.7106,2,2,0.25,0.25,15.1578,7.2368,8.4474,3.8422,2,2,2,2,1,2
"186","2009-10","Arsenal","Hull",1.7894,0.7106,1.1052,1.4736,1,1,15.2894,7.6578,8.579,4.1316,16.4736,10.8422,8.8422,5.6842,3,0
"187","2013-14","Arsenal","Hull",2.2632,1.0526,2,2,1,0.5,16.4474,7.9474,9.6052,4.421,2,2,2,2,2,0
"188","2014-15","Arsenal","Hull",2.1842,0.8948,0.9474,1.6842,1.25,0,15.5264,9.0526,7.7368,3.8684,15.2632,9.421,4.7368,2.9474,2,2
"189","2016-17","Arsenal","Hull",1.8948,0.6578,0.7368,1.421,1,0.5,17.9474,9.8158,6.7368,3.3948,14.2632,9.7894,4.3684,2.7894,2,0
"192","2000-01","Arsenal","Ipswich",2,0.579,2,2,2,0.25,10,5,4,2,5,10,2,4,1,0
"193","2001-02","Arsenal","Ipswich",2.2894,0.7894,1.3684,1.421,1.25,0.25,10,5,4,2,5,10,2,4,2,0
"201","2000-01","Arsenal","Leeds",2,0.579,1.5526,1.3158,1.25,0.25,10,5,4,2,5,10,2,4,2,1
"202","2001-02","Arsenal","Leeds",2.2894,0.7894,1.5,1.2368,1,0.25,10,5,4,2,5,10,2,4,1,2
"203","2002-03","Arsenal","Leeds",2.2894,1,1.3158,1,0.75,0.75,16.8422,6.3422,9.0264,3,11.8948,10.1316,5.1316,5.2106,2,3
"204","2003-04","Arsenal","Leeds",2.3422,1.1842,1.4474,1.2368,0.75,1.25,16.2106,6.3158,8.6842,3.079,13.6316,9.3422,5.7106,5.2894,5,0
"210","2000-01","Arsenal","Leicester",2,0.579,1.0264,1.3684,1.75,0.25,10,5,4,2,5,10,2,4,6,1
"211","2001-02","Arsenal","Leicester",2.2894,0.7894,0.921,1.5526,2,0.5,10,5,4,2,5,10,2,4,4,0
"212","2003-04","Arsenal","Leicester",2.3422,1.1842,0.7894,1.579,2.5,0.25,16.2106,6.3158,8.6842,3.079,12.7368,6.579,6.6842,3.5264,2,1
"213","2014-15","Arsenal","Leicester",2.1842,0.8948,2,2,1.5,0.25,15.5264,9.0526,7.7368,3.8684,2,2,2,2,2,1
"214","2015-16","Arsenal","Leicester",2.0264,0.6578,0.9474,1.7368,1,0.5,16.9474,9.5,6.7106,3,16.6842,9.579,5.3158,2.8422,2,1
"215","2016-17","Arsenal","Leicester",1.8948,0.6578,1.3422,1.3422,1,0.5,17.9474,9.8158,6.7368,3.3948,15.8422,11.2894,4.6052,3.8422,1,0
"216","2017-18","Arsenal","Leicester",1.8422,0.7106,1.3158,1.4736,0.75,0.25,17.1578,10.579,6.0264,4.0264,15.3158,11.5526,4.579,4.0526,4,3
"217","2018-19","Arsenal","Leicester",2.4474,0.9474,1.2632,2,1.25,0.75,17.6842,10.1052,6.8684,3.9474,15.0264,10.1842,5.2368,3.5526,3,1
"218","2019-20","Arsenal","Leicester",2.5264,0.9474,1.5264,1.7368,1.75,1,15.7632,10.579,6.3948,3.8158,13.5,10.8422,4.6316,4.1578,1,1
"226","2000-01","Arsenal","Liverpool",2,0.579,1.2368,1.1052,0,0.25,10,5,4,2,5,10,2,4,2,0
"227","2001-02","Arsenal","Liverpool",2.2894,0.7894,1.421,1.1052,0.5,0.25,10,5,4,2,5,10,2,4,1,1
"228","2002-03","Arsenal","Liverpool",2.2894,1,1.7106,1.079,0.75,0.25,16.8422,6.3422,9.0264,3,10.2894,10.4474,4.9736,5.6842,1,1
"229","2003-04","Arsenal","Liverpool",2.3422,1.1842,1.7106,1.079,0.5,0.5,16.2106,6.3158,8.6842,3.079,10.4474,10.4736,5.0526,5.7894,4,2
"230","2004-05","Arsenal","Liverpool",2.2894,0.8948,1.5,1.2368,1.25,0.75,14.7106,6.8948,8.6052,3.421,10.2368,12.1316,5.2894,6.7106,3,1
"231","2005-06","Arsenal","Liverpool",2.4736,0.8684,1.2368,1.2632,1.75,0.75,13.579,6.5264,8.2632,3.1842,9.579,12.3684,5.1842,6.5264,2,1
"232","2006-07","Arsenal","Liverpool",2.6842,0.8422,1.2106,1.1316,1.25,0.5,13.3948,6.3684,8.6842,3.2106,8.0526,11.4474,4.5,5.5264,3,0
"233","2007-08","Arsenal","Liverpool",2.3948,0.7632,1.1316,0.9736,1.25,0.25,14.5264,6.7106,8.8948,3.5,7.5526,12.2368,4.0526,6.079,1,1
